,MITRA,MITRA KERJA SAMA,JENIS KERJASAMA,SIGN,NOMOR,SIGN,NOMOR,MASA BERLAKU,MULAI,BERLAKU HINGGA,STATUS,DOKUMEN,
2019,BUMN,Biro Klasifikasi Indonesia (PERSERO),Kesepakatan Bersama,Sekjen KKP,02/SJ-KKP/KB/IX/2019,Direktur Utama,B.8471/HK.503/KI-19,5,9/9/2019,9/9/2024,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1HS2NbKxdbG8Ga0bQi-FKnLmvM_Bur9tZ/view?usp=drive_link
2019,K/L,"Pusat Riset dan Pengembangan SDM, BSN",Perjanjian Kerja Sama,"Kapus Standardisasi Sistem dan Kepatuhan, BKIPM",,"Kapus Riset dan Pengembangan SDM, BSN",,5,8/21/2019,8/21/2024,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1v8AtoziXmmF1WRvqBYTbL0E2d9HP1sRi/view?usp=drive_link
2019,K/L,POLRI,Nota Kesepahaman,Kapolri,B/90/VII/2019,MKP,03/MEN-KP/KB/VII/2019,5,7/30/2019,7/30/2024,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1HhamCeNqsFlAyk_LX3V5_C1ehORG3Enq/view?usp=drive_link
2019,K/L,"Kemenkomar
Kemenhub
KLHK
KKP
Kemenpar
TNI
BIG",Kesepakatan Bersama,Menkomar,03/NKB/MARITIM//III/2019,"
Menhub
Men LHK
MKP
Menpar
Panglima TNI
Ka. BIG",03/MEN-KP/KB/III/2019,5,3/26/2019,3/26/2024,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1IzL9kIJFNTFZZ7mNbChD-lVxeWrdtBKd/view?usp=drive_link
2019,K/L,BNPB,Nota Kesepahaman,MKP,02/MEN-KP/KB/III/2019,Ka.BNPB,17/BNPB/III/2019,5,3/8/2019,3/8/2024,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1nwzgpeJoqUcZM42G9thqpwjZy2MAK9_d/view?usp=drive_link
2019,BUMN,Angkasa Pura I,Nota Kesepahaman,Ka. BKIPMKHP,866/BKIPM/II/2019,Direktur Utama,SP.32/HK.09.01/2019/DU,5,2/14/2019,2/14/2024,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/10JsXop2Ib3HDy1loZ3C_oeco6bBZZIa0/view?usp=drive_link
2019,K/L,TNI,Nota Kesepahaman,MKP,01/MEN-KP/KB/II/2019,Panglima TNI,NK/1/II/2019/TNI,5,2/11/2019,2/11/2024,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1XV53pH93iaS7Qkf0T_FnVywTGJYVX-lX/view?usp=drive_link
2019,K/L,BPJS Ketenagakerjaan,Kesepakatan Bersama,Sekjen KKP,04/SJ-KKP/KB/XII/2019,Dirut BPJS Ketenagakerjaan,MoU/21/122019,3,12/4/2019,12/4/2022,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1G95ki7azFu3kYeYVFU4r9sgDOvhuSPth/view?usp=drive_link
2019,Ormas,WWF Indonesia,Kesepakatan Bersama,Sekjen KKP,03/SJ-KKP/KB/X/2019,CEO WWF Indonesia,018/WWF-ID/LGL-MOU-20014/X/FY20/2019,3,10/18/2019,10/18/2022,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1HwIXsHhBrRTJ_JkSbYknq41YHpMh03GC/view?usp=drive_link
2019,BUMN, PT. Pertamina (Persero) Marketing Operation Region VIII,Perjanjian Kerja Sama,SesDitjen PRL,5/PRL/KKP/PKS/IX/2019,General Manager Marketing Operation Region VIII,074/F18400/2019-S7,3,9/25/2019,9/25/2022,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1iJuh-EovQyCVVQEAl3CEfLEo64wANsVU/view?usp=drive_link
2019,Ormas Asing,SFPF,Memorandum Saling Pengertian,Sekjen KKP,,Direktur Program,,3,9/17/2019,9/17/2022,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1yiOsHATqph9TH5UMRMe-GhebxOMTREi3/view?usp=drive_link
2019,Ormas Asing,MSC,Memorandum Saling Pengertian,Sekjen KKP,,Regional Director Asia Pacific,,3,8/27/2019,8/27/2022,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1j-EENT-gVEBf6IKh1d934HNegSoouwe5/view?usp=drive_link
2019,K/L,"Ditjen Bea Cukai
Badan Karantina Pertanian",Perjanjian Kerja Sama,Dir. Teknis Kepabeanan,KEP-197/BC/2019,Sekretaris BKIPMKHP,3408/BKIPM.1/KS.300/VII/2019,3,7/3/2019,7/3/2022,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1tCoh5p5pnlpI_unakwy4efjzR_YkruAu/view?usp=drive_link
2019,Ormas Asing,EDF,Memorandum Saling Pengertian,Sekjen KKP,,VP Asia Pasific EDF,,3,4/9/2019,4/9/2022,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1WVmvwvcw9frC6quS3fxQ0UP60HkwbSEa/view?usp=drive_link
